,correct_answer,Problem,Classifier,Classification,group_number,is_correct,aggregation,features,entity
0,10 miles,ThreeRobots,LR,10 miles,1,1,-1,-1,answer
1,10 miles,ThreeRobots,RF,10 miles,1,1,-1,-1,answer
2,10 miles,ThreeRobots,LDA,10 miles,1,1,-1,-1,answer
3,10 miles,ThreeRobots,SVM,10 miles,1,1,-1,-1,answer
4,10 miles,ThreeRobots,KNN,10 miles,1,1,-1,-1,answer
5,10 miles,ThreeRobots,XGB,10 miles,1,1,-1,-1,answer
6,10 miles,ThreeRobots,Stack,10 miles,1,1,-1,-1,answer
7,10 miles,ThreeRobots,Vote_soft,10 miles,1,1,-1,-1,answer
8,10 miles,ThreeRobots,Bag_KNN,10 miles,1,1,-1,-1,answer
9,10 miles,ThreeRobots,LR,3 miles,2,0,-1,-1,answer
10,10 miles,ThreeRobots,RF,3 miles,2,0,-1,-1,answer
11,10 miles,ThreeRobots,LDA,10 miles,2,1,-1,-1,answer
12,10 miles,ThreeRobots,SVM,10 miles,2,1,-1,-1,answer
13,10 miles,ThreeRobots,KNN,10 miles,2,1,-1,-1,answer
14,10 miles,ThreeRobots,XGB,9 miles,2,0,-1,-1,answer
15,10 miles,ThreeRobots,Stack,5 miles,2,0,-1,-1,answer
16,10 miles,ThreeRobots,Vote_soft,10 miles,2,1,-1,-1,answer
17,10 miles,ThreeRobots,Bag_KNN,10 miles,2,1,-1,-1,answer
18,10 miles,ThreeRobots,LR,10 miles,3,1,-1,-1,answer
19,10 miles,ThreeRobots,RF,10 miles,3,1,-1,-1,answer
20,10 miles,ThreeRobots,LDA,10 miles,3,1,-1,-1,answer
21,10 miles,ThreeRobots,SVM,10 miles,3,1,-1,-1,answer
22,10 miles,ThreeRobots,KNN,10 miles,3,1,-1,-1,answer
23,10 miles,ThreeRobots,XGB,2 miles,3,0,-1,-1,answer
24,10 miles,ThreeRobots,Stack,1 mile,3,0,-1,-1,answer
25,10 miles,ThreeRobots,Vote_soft,10 miles,3,1,-1,-1,answer
26,10 miles,ThreeRobots,Bag_KNN,2 miles,3,0,-1,-1,answer
27,1 hour,CR_Conf,LR,Infinity,4,0,-1,-1,answer
